noisy_motion_x,noisy_motion_y,noisy_motion_theta,noisy_motion_cov_xx,noisy_motion_cov_xy,noisy_motion_cov_xtheta,noisy_motion_cov_yy,noisy_motion_cov_ytheta,noisy_motion_cov_thetatheta,kalman_prediction_x,kalman_prediction_y,kalman_prediction_theta,lidar_x,lidar_y,lidar_theta,lidar_cov_xx,lidar_cov_xy,lidar_cov_xtheta,lidar_cov_yy,lidar_cov_ytheta,lidar_cov_thetatheta,ground_truth_x,ground_truth_y,ground_truth_theta,alpha
-1.83616180038371E-06,1.10663531813771E-05,8.53012097650208E-05,8.27324059954337E-12,-4.98619409650125E-11,-3.84343751269611E-10,3.00512614792581E-10,2.31639885051038E-09,1.78551697871399E-08,-4.55215013062116E-05,0.000277047074633,0.002134413225576,-0.002528248919344,-0.002779603598067,0.002307505188357,2.23006099986378E-06,3.6039489259565E-07,0,3.58138618139492E-06,0,3.68364894143269E-08,-8.87560384829848E-05,0.00049942177699,0.003760379998225,8
8.14615759736626E-07,-4.90734373670421E-06,-3.78273907699622E-05,8.28443650485733E-12,-4.99064539694061E-11,-3.84695192368056E-10,3.00642594153189E-10,2.31745089784852E-09,1.78636661019027E-08,-4.61704003100749E-05,0.000280956097413,0.002164545468986,-0.004272725516864,-0.006022309647184,0.002250428254279,2.31783610615821E-06,4.69477782871763E-07,0,4.00814633394475E-06,0,4.3473768585045E-08,-8.94756058912403E-05,0.000503756538972,0.003793793754344,8
2.66821729155708E-07,-1.6066290982053E-06,-1.23846866699751E-05,8.29564542059735E-12,-4.99510051377161E-11,-3.85046938777833E-10,3.00772601269372E-10,2.31850338927586E-09,1.78721659693792E-08,-4.64801341877319E-05,0.000282821129076,0.00217892206274,-0.006535699781019,-0.002554725642303,0.002466833441108,2.16901548810711E-06,2.21696751623313E-07,0,3.50598224940768E-06,0,3.83365090783627E-08,-9.01956599459056E-05,0.000508092238223,0.003827215459328,8
-4.1285447878181E-06,2.48479955189396E-05,0.000191544735571,8.30686908148692E-12,-4.99955910004957E-11,-3.85398990498942E-10,3.00902691652283E-10,2.31955632479242E-09,1.78806711659263E-08,-5.12643273395952E-05,0.000311615207465,0.002400885568932,-0.001431474011586,-0.002099813147842,0.002657370304521,2.12819668377051E-06,3.67154854075125E-07,0,3.28253372572362E-06,0,3.76287943026909E-08,-9.09162009295411E-05,0.000512428874991,0.003860645115653,8
2.91330024992931E-06,-1.75258828676306E-05,-0.000135103997309,8.3181066201643E-12,-5.00402150271917E-11,-3.85751347531382E-10,3.01032837546344E-10,2.32060992644278E-09,1.7889179915187E-08,-5.10519894305617E-05,0.000310337811243,0.00239103846252,-0.006116198743496,-0.000750223586458,0.002685528285581,2.16297621591366E-06,2.16465792846066E-07,0,3.54751227860106E-06,0,4.27384740930847E-08,-9.16372291249138E-05,0.000516766449523,0.003894082725798,8
-5.46105047760648E-06,3.28375863318797E-05,0.000253144768067,8.32935803662949E-12,-5.00848772178042E-11,-3.86104009875155E-10,3.01163066707133E-10,2.32166419422697E-09,1.78976939935183E-08,-5.67877796129324E-05,0.000344827421941,0.002656918717548,-0.004687951440065,0.001802664917007,0.002897391607743,2.08279539037903E-06,3.2886933354348E-07,0,2.96379107567191E-06,0,3.75696949106441E-08,-9.23587448149457E-05,0.000521104962068,0.00392752829224,8
-3.95968345401343E-06,2.37988479057094E-05,0.000183469150215,8.34062419824422E-12,-5.01295775723332E-11,-3.86456977530258E-10,3.01293323623497E-10,2.32271890610036E-09,1.790621340092E-08,-6.11829818808474E-05,0.000371243862901,0.002860567299649,-0.003144647433839,0.000846715500866,0.003083529805122,2.26539123104885E-06,3.72896749922802E-07,0,3.7538575270446E-06,0,4.53339517036966E-08,-9.30807482827853E-05,0.000525444412875,0.003960981817463,8
-1.35127788780665E-06,8.11784138932126E-06,6.25831016805023E-05,8.35190423764676E-12,-5.01743126213317E-11,-3.86810250496694E-10,3.01423663806588E-10,2.32377406206297E-09,1.79147363610355E-08,-6.35329270153306E-05,0.000385361228837,0.002969402587041,-0.003745939750498,0.001518173918078,0.003219203489777,2.23894721784745E-06,6.4835785451578E-07,0,3.99310511056683E-06,0,4.19429682096961E-08,-9.38032398117095E-05,0.000529784802191,0.003994443303947,8
1.02321482700063E-05,-6.14417003816925E-05,-0.000473684514873,8.3631981548371E-12,-5.02190858342466E-11,-3.87163828774462E-10,3.0155405950083E-10,2.32482988415938E-09,1.79232664265783E-08,-5.80109663133044E-05,0.000352203118382,0.002713770372793,-0.003419129366548,0.00049315618385,0.003068363176539,2.36362143368751E-06,6.30445981641969E-07,0,3.69240342479316E-06,0,4.24744861504678E-08,-9.45262196851808E-05,0.000534126130264,0.004027912754176,8
-3.84768327421625E-06,2.30938421736937E-05,0.000178045738721,8.374506817177E-12,-5.02638937416311E-11,-3.87517712363561E-10,3.01684538461799E-10,2.32588615034501E-09,1.79317982684779E-08,-6.30101349088363E-05,0.000382208178053,0.002945099258795,-0.004707809812356,-0.00131235550454,0.003096429011072,2.15874138120853E-06,5.2892295343554E-07,0,3.36391258315416E-06,0,3.88806036255573E-08,-9.5249688186862E-05,0.000538468397344,0.004061390170634,8
